ID;order_ID;aircraft_reg;tail_registration;delivery_number;delivery_date;delivery_time;delivered_quantity;uom_code;temperature;density;temperature_corrected_qty;fob_at_arrival_kg;fob_before_kg;fob_after_kg;fob_delta_kg;ground_burn_kg;fob_source;fob_rounding_kg;recon_variance_kg;recon_status;supplier_count;delivery_method;vehicle_id;driver_name;pilot_name;ground_crew_name;s4_gr_number;s4_gr_year;s4_gr_item;status;quantity_variance;variance_percentage;variance_flag;variance_reason;refuel_start_utc;refuel_end_utc;refuel_complete;created_at;created_by;modified_at;modified_by
27b8c9d0-7777-4000-8000-000000001703;;C-FITU;C-FITU;EPD-YYZ-20260407-0001;2026-04-07;10:00:00;24000.00;LTR;12.00;0.8020;;;18000.00;37260.00;19260.00;;ACARS;0;;NOT_RECONCILED;;REF;;;;;;;;Verified;;;false;;;;;2026-04-07T00:00:00Z;WP17_SEED;2026-04-07T00:00:00Z;WP17_SEED
27b8c9d0-7777-4000-8000-000000001704;f6a7b8c9-6666-4000-8000-000000006001;RP-C8804;RP-C8804;EPD-MNL-20260407-0003;2026-04-07;11:00:00;9000.00;LTR;30.00;0.7995;;;;;;;NONE;0;;NOT_RECONCILED;1;REF;;;;;;;;Verified;;;false;;;;;2026-04-07T00:00:00Z;WP17_SEED;2026-04-07T00:00:00Z;WP17_SEED
a7b8c9d0-7777-4000-8000-0000000d0001;f6a7b8c9-6666-4000-8000-0000000d0001;C-FDMO;C-FDMO;EPD-YYZ-20260410-0001;2026-04-10;10:20:00;2884.00;LTR;11.50;0.7995;;1950.00;1897.50;4202.50;2305.00;52.50;ACARS;0;0.76;RECONCILED;1;REF;BW-YYZ-101;J. Cote;Capt. M. Tremblay;S. Nadeau;;;;Verified;;;false;;2026-04-10T10:20:00Z;2026-04-10T10:45:00Z;true;2026-04-10T00:00:00Z;WPDEMO01_SEED;2026-08-25T00:00:00Z;S1_CORRECTION
a7b8c9d0-7777-4000-8000-0000000d0002;f6a7b8c9-6666-4000-8000-0000000d0002;C-GDMS;C-GDMS;EPD-YYZ-20260410-0002;2026-04-10;20:35:00;77650.00;LTR;11.50;0.7982;;4650.00;4400.00;66300.00;61900.00;250.00;ACARS;0;80.23;RECONCILED;1;REF;BW-YYZ-201;J. Cote;Capt. M. Tremblay;S. Nadeau;;;;Verified;;;false;;;;;2026-04-10T00:00:00Z;WPDEMO01_SEED;2026-04-10T00:00:00Z;WPDEMO01_SEED
a7b8c9d0-7777-4000-8000-0000000d0003;f6a7b8c9-6666-4000-8000-0000000d0003;C-FDMP;C-FDMP;EPD-YYZ-20260410-0003;2026-04-10;10:10:00;6008.00;LTR;11.50;0.7995;;2150.00;1900.00;6490.00;4590.00;250.00;ACARS;0;213.40;VARIANCE;1;REF;BW-YYZ-103;J. Cote;Capt. M. Tremblay;S. Nadeau;;;;Verified;;;false;;;;;2026-04-10T00:00:00Z;WPDEMO01_SEED;2026-04-10T00:00:00Z;WPDEMO01_SEED
21a00002-0000-4000-8000-000000000001;21a00001-0000-4000-8000-000000000001;C-GROV;C-GROV;DEL-YYZ-20260414-0001;2026-04-14;06:30:00;10000.00;KG;10.5;0.8030;2195.00;;;;;;NONE;0;;NOT_RECONCILED;;;BW-YYZ-003;Tom Richards;Capt. L. Tremblay;Anna Lee;5000210001;2026;0001;Posted;;;false;;;;;2026-04-15T08:00:00Z;station.yyz@airline.com;2026-04-15T08:00:00Z;SYSTEM
21a00002-0000-4000-8000-000000000002;21a00001-0000-4000-8000-000000000002;C-GROV;C-GROV;DEL-YYZ-20260414-0002;2026-04-14;06:30:00;10000.00;KG;10.5;0.8030;2195.00;;;;;;NONE;0;;NOT_RECONCILED;;;BW-YYZ-003;Tom Richards;Capt. L. Tremblay;Anna Lee;5000210002;2026;0001;Posted;;;false;;;;;2026-04-15T08:00:00Z;station.yyz@airline.com;2026-04-15T08:00:00Z;SYSTEM
21a00002-0000-4000-8000-000000000003;21a00001-0000-4000-8000-000000000003;C-GROV;C-GROV;DEL-YYZ-20260414-0003;2026-04-14;06:30:00;10000.00;KG;10.5;0.8030;2195.00;;;;;;NONE;0;;NOT_RECONCILED;;;BW-YYZ-003;Tom Richards;Capt. L. Tremblay;Anna Lee;5000210003;2026;0001;Posted;;;false;;;;;2026-04-15T08:00:00Z;station.yyz@airline.com;2026-04-15T08:00:00Z;SYSTEM
21a00002-0000-4000-8000-000000000004;21a00001-0000-4000-8000-000000000004;C-GROV;C-GROV;DEL-YYZ-20260414-0004;2026-04-14;06:30:00;10000.00;KG;10.5;0.8030;2195.00;;;;;;NONE;0;;NOT_RECONCILED;;;BW-YYZ-003;Tom Richards;Capt. L. Tremblay;Anna Lee;5000210004;2026;0001;Posted;;;false;;;;;2026-04-15T08:00:00Z;station.yyz@airline.com;2026-04-15T08:00:00Z;SYSTEM
21a00002-0000-4000-8000-000000000006;21a00001-0000-4000-8000-000000000006;C-GROV;C-GROV;DEL-YYZ-20260414-0006;2026-04-14;06:30:00;10000.00;KG;10.5;0.8030;2195.00;;;;;;NONE;0;;NOT_RECONCILED;;;BW-YYZ-003;Tom Richards;Capt. L. Tremblay;Anna Lee;;2026;0001;Posted;;;false;;;;;2026-04-15T08:00:00Z;station.yyz@airline.com;2026-04-15T08:00:00Z;SYSTEM
21a00002-0000-4000-8000-000000000007;21a00001-0000-4000-8000-000000000007;C-GROV;C-GROV;DEL-MNL-20260414-0007;2026-04-14;06:30:00;10000.00;KG;10.5;0.8030;2195.00;;;;;;NONE;0;;NOT_RECONCILED;;;BW-YYZ-003;Tom Richards;Capt. L. Tremblay;Anna Lee;5000210007;2026;0001;Posted;;;false;;;;;2026-04-15T08:00:00Z;station.yyz@airline.com;2026-04-15T08:00:00Z;SYSTEM
21a00002-0000-4000-8000-000000000008;21a00001-0000-4000-8000-000000000008;C-GROV;C-GROV;DEL-YYZ-20260414-0008;2026-04-14;06:30:00;10000.00;KG;10.5;0.8030;2195.00;;;;;;NONE;0;;NOT_RECONCILED;;;BW-YYZ-003;Tom Richards;Capt. L. Tremblay;Anna Lee;5000210008;2026;0001;Posted;;;false;;;;;2026-04-15T08:00:00Z;station.yyz@airline.com;2026-04-15T08:00:00Z;SYSTEM
21a00002-0000-4000-8000-000000000009;21a00001-0000-4000-8000-000000000009;C-GROV;C-GROV;DEL-YYZ-20260414-0009;2026-04-14;06:30:00;10000.00;KG;10.5;0.8030;2195.00;;;;;;NONE;0;;NOT_RECONCILED;;;BW-YYZ-003;Tom Richards;Capt. L. Tremblay;Anna Lee;5000210009;2026;0001;Posted;;;false;;;;;2026-04-15T08:00:00Z;station.yyz@airline.com;2026-04-15T08:00:00Z;SYSTEM
21a00002-0000-4000-8000-000000000010;21a00001-0000-4000-8000-000000000010;C-GROV;C-GROV;DEL-YYZ-20260414-0010;2026-04-14;06:30:00;10000.00;KG;10.5;0.8030;2195.00;;;;;;NONE;0;;NOT_RECONCILED;;;BW-YYZ-003;Tom Richards;Capt. L. Tremblay;Anna Lee;5000210010;2026;0001;Posted;;;false;;;;;2026-04-15T08:00:00Z;station.yyz@airline.com;2026-04-15T08:00:00Z;SYSTEM
a7b8c9d0-7777-4000-8000-000000034001;f6a7b8c9-6666-4000-8000-000000034001;C-FDMO;C-FDMO;EPD-YYZ-20260512-034;2026-05-12;10:30:00;2725.00;KG;;;;2400.00;;;;;NONE;0;;NOT_RECONCILED;;REF;;;;;;;;Pending;;;;;;;;2026-05-12T00:00:00Z;WP34_SEED;2026-05-12T00:00:00Z;WP34_SEED
